item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
19,2,Unknown,False,,No location name/address matched,"No formal action recorded. Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource partners; 2017-2019 strategic plan for quality oflife, workforce development and talent retention and recruitment, and business retention and expansion; and the Village of Estero 2017 investment request with a one-year trial commitment: Councilmember voting seat on the Board of Directors and Village Manager as resource partner seat on the Board of Directors; and Enterprise Team investment of $5,000. The Village was offered a one year membership for $10,000; knowing that the City of Bonita Springs was paying $25,000 for a similar role, the Estero Community Improvement Foundation offered $5,000 to match the $5,000 from the Village. Questions "
20,2,Unknown,False,,No location name/address matched,No formal action recorded. Council Rules of Procedure - Removed from the agenda
21,2,Public Comment,False,,No location name/address matched,"No formal action recorded. Available Estero Properties Discussion ensued related to the 12.02 acre parcel with DO and zoning in place, which could be used for recreational development that Village Manager Sarkozy addressed at the December 7, 2016 meeting. Consensus was to pass on the 12.02 acre parcel. Discussion followed related to the parcel owned by Andy Djamoos. Village Manager Sarkozy noted that there have been informal discussions regarding the parcel. Village Attorney Saunders spoke to a process by which negotiations were exempt from disclosure for a specified period of time. He stated that he would get together with the Village Manager to review the statute. Public Comment: None. Village Council Meeting Final Action Agenda/Minutes - January 4, 2017 Page 6 oflO"
22,2,Unknown,False,,No location name/address matched,No formal action recorded. State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m
23,3,Administrative,True,,No location name/address matched,"Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
24,3,Administrative,True,,No location name/address matched,Approved agenda
25,3,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
27,3,Unknown,False,,No location name/address matched,"Accepted the Village's portion of the Opiod Settlement in the amount of $14,400"
28,3,Unknown,False,,No location name/address matched,"No formal action recorded. December 7, 2022, Council Meeting Minutes"
29,3,Unknown,False,,No location name/address matched,No formal action recorded. Financial Report for Month ended October 2022
31,3,Presentation,False,,No location name/address matched,"No formal action recorded. Village of Estero Northern Monument Sign Concepts Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director  Robert Eschenfelder, Village Attorney Council Questions or Comments Councilmembers Fiesel, Ward, Vice Mayor McLain, and Mayor Errington"
32,4,Administrative,True,,No location name/address matched,Approved agenda
33,4,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
34,4,Resolution,True,,No location name/address matched,Adopted Resolution No. 2022-01
36,4,Vote,True,,No location name/address matched,Authorized the Village Manager and Village Attorney to execute any documents necessary to maintain participation in the State of Florida settlement
37,4,Ordinance,True,,No location name/address matched,"Passed first reading and schedule second reading and public hearing for January 19, 2022"
38,4,Unknown,False,,No location name/address matched,"No formal action recorded. December 1, 2021, Council Meeting Minutes"
39,4,Public Comment,False,,No location name/address matched,"No formal action recorded. Raptor Bay Golf Course Renovation Village Council Minutes - January 5,2022 Page 5 of 6 Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Public Comments None. Council Questions or Comments Councilmembers Boesch, Ribble, Fiesel, Vice Mayor McLain, and Mayor Errington"
41,5,Vote,True,,No location name/address matched,Approved the agenda
42,5,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
43,5,Ordinance,True,Budget / Capital Improvement,No location name/address matched,Approved first reading of Ordinance No. 2016-01
44,5,Resolution,True,,No location name/address matched,Adopted Resolution No. 2016-01
45,5,Resolution,True,,No location name/address matched,Adopted Resolution No. 2016-02
46,5,Resolution,True,,No location name/address matched,Adopted Resolution No. 2016-03
47,5,Unknown,False,,No location name/address matched,No action required
48,5,Unknown,False,,No location name/address matched,"No formal action recorded. November 18, 2015 Regular Meeting"
49,5,Unknown,False,,No location name/address matched,"No formal action recorded. December 2, 2015 Regular Meeting"
50,6,Administrative,True,,No location name/address matched,Approved agenda
51,6,Consent Agenda,True,,No location name/address matched,Approved consent agenda
52,6,Contract Approval,True,,No location name/address matched,"Approved award of Task Authorization 14 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council"
53,6,Ordinance,True,,No location name/address matched,"Passed first reading and schedule second reading for February 5, 2025 and the applicant will provide us with additional information"
54,6,Ordinance,True,,No location name/address matched,"Passed first reading and schedule second reading for January 22, 2025"
55,6,Unknown,False,,No location name/address matched,"No formal action recorded. December 18, 2024 Village Council Meeting Minutes"
57,6,Presentation,False,,No location name/address matched,"No formal action recorded. Public Works Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Zalucki. Fiesel, Ward, and Mayor McLain"
58,6,Presentation,False,,No location name/address matched,"No formal action recorded. Community Development 2025 Work Plan Discussion Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Councilmember Zalucki, Feisel, Ward, Vice Mayor Ribble, and Mayor McLain"
59,6,Presentation,False,,No location name/address matched,"No formal action recorded. FPL Follow up Staff Presentation/Comments Steve Sarkozy, Village Manager Council Questions or Comments Mayor McLain Council concurred unanimously for Mayor McLain to write a letter to Florida Power & Light"
60,7,Unknown,False,,No location name/address matched,Meeting Cancelled
61,8,Ordinance,False,Budget / Capital Improvement,No location name/address matched,Recommended adoption of Ordinance 2022-01 to the Village Council
62,8,Consent Agenda,True,,No location name/address matched,A motion to approve the consent agenda was made and duly passed
66,9,Ordinance,False,Budget / Capital Improvement,No location name/address matched,Recommended adoption of Ordinance 2022-01 to the Village Council
67,9,Consent Agenda,True,,No location name/address matched,A motion to approve the consent agenda was made and duly passed
73,11,Ordinance,False,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,"No formal action recorded. Land Development Code Staff Presentation/Comments: Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Nancy Stroud, Village Land Use Counsel Presentation/Information by: Mike Bosi, Johnson Engineering Craig Richardson, Clarion Board Questions or Comments: Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016 forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Councilmembers Levitan, McLain, Batos, Vice Mayor Errington, and Mayor Ribble Public Comment: Patty Whitehead, Old Estero Neale Montgomery, Pavese Law Firm"
77,12,Consent Agenda,True,,No location name/address matched,A motion to approve the consent agenda was made and duly passed
79,13,Ordinance,False,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,Recommended denial of Ordinance 2025-17 to Village Council
80,13,Consent Agenda,True,,No location name/address matched,A motion to approve the consent agenda was made and duly passed
83,14,Vote,True,,No location name/address matched,Approved the agenda
84,14,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
86,14,Unknown,False,,No location name/address matched,"Revised item No. 2 on the legislative priorities list to read: ""Support"
87,14,Vote,True,,No location name/address matched,Approved the Village of Estero 2017 State Legislative Priorities as revised
88,14,Vote,True,,No location name/address matched,"Approved the Village of Estero membership in the Bonita Springs Estero Economic Development Council for a one-year trial period at a cost of $5,000; designated Councilmember Wilson as the liaison; and thanked the Estero Community Improvement Foundation for their $5,000 matching contribution"
89,14,Unknown,False,,No location name/address matched,Designated Mayor Batos as the Village spokesman at the Legislative Delegation meeting
90,14,Ordinance,True,,No location name/address matched,"Passed second reading and adopted Ordinance No. 2017-01 with revised wording for Conditions 1, 3, 7, 10, and 15"
91,14,Unknown,False,,No location name/address matched,"No formal action recorded. Approval of December 20, 2016 Council Meeting Minutes"
92,14,Public Comment,False,,No location name/address matched,"No formal action recorded. Planning and Zoning Board 2016 Annual Report Planning and Zoning Board Chairman Scotty Wood offered appreciation to the Vice Mayor, Village Land Use Attorney Stroud, Community Development Director Gibbs and her staff. He spoke to the composition and qualifications of Board Members, stated that the Board's mission was to help the Village grow responsibly and noted that they have had a busy year. Questions or Comments by: Councilmembers Boesch, Wilson, Errington, Ribble, Vice Mayor Levitan, and Mayor Batos. Discussion included compliments to the Board Members and the quality of work demanded; whether Chairman Wood found that the Council Chambers seating capacity was large enough; attendance; the leadership allowing discussion and consensus, improvements to decorum and team environment. Public Comments: Don Eslick, ECCL Village Council Meeting Final Action Agenda/Minutes - January 18, 2017 "
93,14,Discussion,False,,No location name/address matched,"No formal action recorded. Advertising for Planning and Zoning Board and Design Review Board Members for Terms Expiring March 31, 2017 Village Manager Sarkozy referred to the proposed advertising and interview schedule and noted that terms were expiring for two Planning and Zoning Board members and four Design Review Board members. Questions or Comments by: Vice Mayor Levitan and Councilmembers Errington, Ribble, Wilson, and Mayor Batos. Discussion included the past practice of asking for incumbents to reapply, along with accepting applications from the public; the Council's supervisory and review oversight of both Boards, allowing for the opportunity to respond to situations the Council believed were important for change; and concern regarding Board Members recusing themselves and being able to present an application as a paid consultant. Discussion ensued regarding scheduling a workshop to address Board Members "
94,15,Administrative,True,,No location name/address matched,Approved to permit Councilmember Wilson to participate remotely in Zoom Presentation
95,15,Administrative,True,,No location name/address matched,Approved agenda
96,15,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda with the revision of the minutes
99,15,Ordinance,True,,No location name/address matched,Adopted Ordinance No. 2022-01
100,15,Vote,True,,No location name/address matched,"Approved the Village to spend up to $7,000 on the 7th Anniversary Celebration on March 5, 2022"
101,15,Unknown,False,,No location name/address matched,"No formal action recorded. Florida League of Cities - Scott Dudley Council Questions or Comments Councilmember Boesch, Vice Mayor McLain, and Mayor Errington"
102,15,Unknown,False,,No location name/address matched,"No formal action recorded. January 5, 2022, Council Meeting Minutes"
103,16,Vote,True,,No location name/address matched,Approved the agenda
104,16,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
105,16,Ordinance,True,Budget / Capital Improvement,No location name/address matched,Adopted Ordinance No. 2016-01
107,16,Vote,True,,No location name/address matched,Approved the Council Appointments list
111,16,Unknown,False,,No location name/address matched,"No formal action recorded. January 6, 2016 Regular Meeting Village Council Regular Meeting Final Action Agenda/Minutes - January 20, 2016 Page 1 of5"
112,16,Public Comment,False,,No location name/address matched,"No formal action recorded. Presentation by the FGCU Engineering and Planning Team regarding Infrastructure and Inventory Condition Assessment Presentations by: Margaret Banyan, Ph.D. Claude Villiers, Ph.D., E.I.T. Through a PowerPoint presentation, the Estero Infrastructure Inventory prepared by Florida Gulf Coase University was presented, including objectives, process, results and analysis, and recommendations. Feedback was requested by January 26, 2016. Questions or Comments by: Vice Mayor Levitan, Councilmembers Errington, Boesch, Brown, Ribble, Wilson, and Mayor Batos. Public Comment: Doug Saxton, The Reserve resident Ed Weil, Rookery Point resident"
113,16,Public Comment,False,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,"No formal action recorded. Presentation by Community Development Director Mary Gibbs regarding Comprehensive Plan Process Description Village Community Development Director Gibbs, through a PowerPoint presentation, provided information related to the Comprehensive Plan process, including state required elements and optional elements. Questions or Comments by: Councilmembers Boesch, Ribble, Wilson, Errington, Brown, Vice Mayor Levitan, and Mayor Batos. There was Council consensus for a Request for Qualifications for the Village Comprehensive Plan to be prepared. Public Comment: None"
114,17,Administrative,True,,No location name/address matched,"Approved to permit Councilmembers Levitan, and Wilson to participate remotely in Zoom Presentation, and to combine agenda items 7(a)/6(b). Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016 forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
115,17,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
116,17,Contract Approval,True,,No location name/address matched,"Approved Motion to approve award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services as provided in the contract for a one-year period, at a rate of $127,075.00 per year, authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one year terms under the same terms and conditions, which would include adding Estero Parkway maintenance and US 41 maintenance, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $13,000 (10% contingency) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council"
117,17,Ordinance,True,,No location name/address matched,"Approved Ordinance 2020-11 with the change to Section 2, adding one additional condition that says the Village Manager may waive the agreement that the traffic light be operational prior to the first certificate of completion for the vertical development, if the Village Manager determines that the light will be operational within four months"
119,17,Ordinance,True,Budget / Capital Improvement,No location name/address matched,Approved Ordinance 2021-01
120,17,Unknown,False,,No location name/address matched,"No formal action recorded. January 6, 2021 Council Meeting Minutes"
121,18,Administrative,True,,No location name/address matched,Approved agenda
122,18,Consent Agenda,True,,No location name/address matched,Approved consent agenda
124,18,Ordinance,True,,No location name/address matched,Adopted Ordinance No. 2025-01
125,19,Administrative,True,,No location name/address matched,Approved agenda
126,19,Consent Agenda,True,,No location name/address matched,Approved consent agenda
127,19,Contract Approval,True,,No location name/address matched,Approved Interlocal Agreement for Election Services with the Supervisor of Elections
128,19,Contract Approval,True,Estero on the River,No location name/address matched,"Approved EC 2024-10 in the amount of $151,440 for CW3 Engineering, Inc. to provide construction engineering and inspection services for the Estero on the River Phase 1 Improvements, approve a $15,000 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency)"
130,19,Resolution,True,,No location name/address matched,Adopted Resolution No. 2024-02
132,19,Contract Approval,True,,No location name/address matched,Approved Recreation Lease Agreement with the Lee County School Board
133,19,Contract Approval,True,,No location name/address matched,"Approved Joint Use Agreement of Estero High School recreational facilities, and to authorize the Village Manager to administratively approve any amendments to the Agreement or related Lease Agreement which may be required to satisfy School Board requirements or to make necessary clarifications, so long as any such amendments do not increase the financial commitments of the Village beyond those set forth in those respective documents"
134,19,Unknown,False,,No location name/address matched,"No formal action recorded. January 3, 2024 Village Council Meeting Minutes"
135,19,Unknown,False,,No location name/address matched,No formal action recorded. Financial Report for Month ended September 2023
136,19,Unknown,False,,No location name/address matched,No formal action recorded. Financial Report for Month ended October 2023
137,19,Public Comment,False,,No location name/address matched,"No formal action recorded. Update on Development Projects in Estero Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director  Council Questions or Comments Councilmembers Fayhee, Zalucki, Fiesel, Vice Mayor Ribble, and Mayor McLain. Public Comments Ecomments Walter Ambrose, Copperleaf Brian Oboyle, Grandezza"
138,19,Public Comment,False,,No location name/address matched,"No formal action recorded. Planning, Zoning, and Design Board Annual Report Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Presentation/Information by Scotty Wood, Planning Zoning and Design Board Chairman Council Questions or Comments Councilmembers Zalucki, Ward, Fiesel, Vice Mayor Ribble and Mayor McLain Public Comments None"
139,20,Administrative,True,,No location name/address matched,"Approved to permit Councilmembers Levitan, Wilson, and McLain to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016 forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
140,20,Administrative,True,,No location name/address matched,Approved agenda
141,20,Resolution,True,,No location name/address matched,Approved Resolution No. 2021-01
142,20,Ordinance,True,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,"Adopted the Land Development Code Ordinance 2020-10 and Official Zoning Map as amended in the ""Addendum of Recommended Changes"" document dated January 19, 2021 as well as the addition of a sentence to Table 3-405.C that states ""A stand-alone car wash which has applied but has not been determined to be complete for an application for Development Order prior to January 27, 2021, and which submits a complete application for Development Order prior to April 27, 2021, a permitted use and not a special exception use shall apply."""
143,21,Administrative,True,,No location name/address matched,Approved agenda
144,21,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
145,21,Unknown,False,,No location name/address matched,Estero Chamber of Commerce approval of financial support for Strategic Plans for Future Growth and Impact
146,21,Vote,True,,No location name/address matched,Approved motion for financial support Estero Chamber of Commerce Strategic Plans for Future Growth and Impact
148,21,Ordinance,True,Comprehensive Plan; Budget / Capital Improvement; Comprehensive Plan / Land Development Code,No location name/address matched,"Passed first reading of Ordinance No. 2021-01 and schedule second reading/public hearing for January 20, 2020"
149,21,Vote,True,,No location name/address matched,Approved motion for a continuance until February 3 with the goal of making a final decision
151,21,Unknown,False,,No location name/address matched,"No formal action recorded. December 2, 2020 Council Meeting Minutes"
152,21,Unknown,False,,No location name/address matched,"No formal action recorded. December 9, 2020 Council Meeting Minutes"
153,21,Unknown,False,,No location name/address matched,"No formal action recorded. December 30, 2020 Council Meeting Minutes"
154,21,Presentation,False,,No location name/address matched,"Estero Chamber of Commerce approval of financial support for Strategic Plans for Future Growth and Impact. Staff Presentation/Comments: Steve Sarkozy, Village Manager Council Questions or Comments: Councilmember McLain and Mayor Ribble"
155,22,Vote,True,,No location name/address matched,"Approved the agenda as revised, adding Edison Farms as Agenda Item 10 (c)"
156,22,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
157,22,Resolution,True,,No location name/address matched,Adopted Resolution No. 2017-04
158,22,Unknown,False,,No location name/address matched,Staff recommends that
159,22,Unknown,False,,No location name/address matched,A workshop will be scheduled
161,22,Unknown,False,,No location name/address matched,"No formal action recorded. Approval of January 18, 2017 Council Meeting Minutes"
162,22,Ordinance,False,,No location name/address matched,No formal action recorded. Council request the Village Land Use Attorney to draft a Bonus Density Land Acquisition ordinance for Council review; and
163,22,Discussion,False,,No location name/address matched,"No formal action recorded. Upon applicant revisions of the Pattern Book, schedule Council review at a future meeting for compliance with Zoning Conditions. Village Manager Sarkozy provided a brief explanation. Community Development Director Gibbs addressed staffs request for the Council to provide direction on two items related to the Estero Grande Development Order; the application was currently under review for the ""infrastructure"", meaning the basic road and utilities layout and parcel configuration; no individual parcels have been submitted yet for commercial or residential uses. The staff identified two issues during review that require interpretation and policy direction from the Council"
164,22,Resolution,False,,No location name/address matched,No formal action recorded. Interpretation of two zoning conditions of Lee County's approval ofEstero Grande in Zoning Resolution Z 14-028
165,22,Contract Approval,True,,No location name/address matched,"No formal action recorded. Policy direction on ""Bonus Density,"" density above the standard residential range of 1-6 units per acre. Community Development Director Gibbs spoke to the zoning conditions and noted that staff did not believe that the current Pattern Book satisfied the conditions; the Pattern Book should be revised to more specifically represent what would be built on the site based on the anticipated use of the property. With regard to the Bonus Density Program, Community Development Director Gibbs explained that Village Land Use Attorney Nancy Stroud opined that the program would not be applicable in the Village unless and until the Village adopted its own program or entered into an interlocal agreement with Lee County to use the county program. She stated that staff was requesting direction on whether the Council desired to establish a bonus density program; another option that had been discussed was"
166,23,Administrative,True,,No location name/address matched,"Motion to permit Councilmember Wilson to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
167,23,Administrative,True,,No location name/address matched,Approved agenda
168,23,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
169,23,Ordinance,True,,No location name/address matched,"Passed first reading of Zoning Ordinance 2023-01 and set second reading for February 15, 2023"
170,23,Unknown,False,,No location name/address matched,"No formal action recorded. January 18, 2023, Council Meeting Minutes"
172,23,Public Comment,False,,No location name/address matched,"No formal action recorded. Florida Department of Transportation (FDOT) Southwest Connect Project Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmembers Ward, Ribble, Fiesel, and Vice Mayor McLain Public Comments None"
173,24,Administrative,True,,No location name/address matched,Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation
174,24,Administrative,True,,No location name/address matched,Approved agenda
175,24,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
176,24,Resolution,True,,No location name/address matched,Adopted Resolution No. 2022-02
180,24,Public Comment,False,,No location name/address matched,"No formal action recorded. Greater Estero Virtual Information Center (GEVIC) Staff Presentation/Comments Steve Sarkozy, Village Manager Presentation/Information by: Barry Freedman Nolen Rollins Paul Franke, Simpleview Chris Armstrong, Hoffman Creative Agency Public Comments None. Council Questions or Comments Councilmembers Boesch, Ribble, Ward, Vice Mayor McLain, and Mayor Errington"
181,25,Administrative,True,,No location name/address matched,"Approved agenda with the deletion of 6 (b). Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
182,25,Consent Agenda,True,,No location name/address matched,Approved consent agenda
183,25,Resolution,True,,No location name/address matched,Approved Resolution No. 2025-01 to reappoint two
184,25,Ordinance,True,,No location name/address matched,Adopted Ordinance No. 2024-14 with staff revisions
185,25,Unknown,False,,No location name/address matched,"No formal action recorded. January 22, 2025 Village Council Meeting Minutes"
186,25,Resolution,False,,No location name/address matched,No formal action recorded. Resolution No. 2025-01 Reappoint two
187,25,Resolution,True,,No location name/address matched,"No formal action recorded. Planning, Zoning, and Design Board members for a one-year term. Staff Presentation/Comments Steve Sarkozy, Village Manager Council Questions or Comments None Public Comments None Motion: Motion to approve Resolution No. 2025-01 to reappoint two"
188,25,Vote,True,,No location name/address matched,"No formal action recorded. Planning, Zoning, and Design Board members for a one-year term. Vote: (Roll Call) Aye: Councilmembers Fayhee, Fiesel, Lopez, Ward, Zalucki, Vice Mayor Ribble, and Mayor McLain Nay: Abstentions"
190,25,Public Comment,False,,No location name/address matched,"No formal action recorded. Property Acquisition Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Robert Eschenfelder, Village Attorney Council Questions or Comments Councilmembers Fiesel, Ward, Lopez, Zalucki, Fayhee, Vice Mayor Ribble, and Mayor McLain Public Comments None"
191,26,Administrative,True,,No location name/address matched,Approved agenda
192,26,Consent Agenda,True,,No location name/address matched,Approved consent agenda
193,26,Vote,True,,No location name/address matched,Approved schedule for Planning Zoning and Design Board appointments
194,26,Resolution,True,,No location name/address matched,Adopted Resolution No. 2024-03
199,26,Resolution,True,,No location name/address matched,Adopted Resolution No. 2024-01
200,26,Public Comment,False,,No location name/address matched,"No formal action recorded. Update Monument Signs Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Zalucki, Ward, Fiesel, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments None"
201,27,Unknown,False,,No location name/address matched,Meeting Cancelled
202,28,Vote,True,,No location name/address matched,Approved the agenda
203,28,Consent Agenda,True,,No location name/address matched,"Approved the Consent Agenda, revising minutes as necessary"
204,28,Vote,True,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,Authorized staff to distribute RFQ 2016-01
205,28,Vote,True,,No location name/address matched,Authorized staff to distribute RFP 2016-01
207,28,Unknown,False,,No location name/address matched,Appointed Robert King as Village CAC Representative to MPO
208,28,Unknown,False,,No location name/address matched,"Accepted the letter of resignation from Jeffrey Mass dated January 12, 2016 and directed the Village Clerk to advertise the vacancy and solicit applications"
209,28,Resolution,True,,No location name/address matched,Adopted Resolution 2016-05 as amended
210,28,Vote,True,,No location name/address matched,"Authorized the Mayor to sign the letter and approved and endorsed the white paper entitled ""Caloosahatchee Watershed Regional Water Management Issues."""
211,28,Resolution,True,,No location name/address matched,Adopted Resolution No. 2016-04
212,28,Unknown,False,,No location name/address matched,"No formal action recorded. January 13, 2016 Zoning Hearing"
213,28,Unknown,False,,No location name/address matched,"No formal action recorded. January 13, 2016 Special Meeting"
214,28,Unknown,False,,No location name/address matched,"No formal action recorded. January 20, 2016 Zoning Hearing- Continuation of Deliberations"
215,28,Unknown,False,,No location name/address matched,"No formal action recorded. January 20, 2016 Regular Meeting"
217,28,Unknown,False,,No location name/address matched,"No formal action recorded. The fifth ""Whereas"" to read ""WHEREAS, the Village Council is concerned, among other things, that hurricane evacuation times and shelter capacity are currently inadequate and that increased density at the Raptor Bay location will further exacerbate evacuation problems."""
218,28,Resolution,True,,No location name/address matched,"No formal action recorded. Section 1 to read ""The Village Council authorizes the Village Manager to coordinate the provision of expert testimony from Village staff and consultants as appropriate and necessary to the City of Bonita Springs zoning hearings related to the Pelican Landing/Raptor Bay development proposals and to continue to explore the merits of jurisdictional and procedural legal challenges to these matters as authorized by Village Council prior resolution on the matter at Council meeting of January 13, 2016. The expert testimony shall be provided to the hearings held before the City Zoning Board for Land Use Hearings and before the City Council."" Attorney Derek Rooney offered additional revisions to the resolution"
