AgendaItemID,MeetingDate,ProjectTitle,Location,Latitude,Longitude,ParsedNumber,ParsedStreet,PointParcelSTRAP,PointParcelAddress,AddressParcelSTRAP,AddressParcelAddress,AddressMatchCount,DistanceMeters,Status,Notes,Document_Link
1704,2024-10-02,Estero Sports Park Design Services Contract - RFP 100424,"Estero Sports Park, north of Williams Road and east of Via Coconut Point, Estero, FL",26.422098,-81.802186,,,344625E40100C017B,9100 WILLIAMS RD,,,0,,VENUE_ONLY,point in 9100 WILLIAMS RD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/10022024%20minutes.pdf
189,2025-02-05,RFP 100625 Estero Sports Park CMAR Deleted from Agenda,"Estero Sports Park, north of Williams Road and east of Via Coconut Point, Estero, FL",26.422098,-81.802186,,,344625E40100C017B,9100 WILLIAMS RD,,,0,,VENUE_ONLY,point in 9100 WILLIAMS RD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/02052025.pdf
2516,2020-01-08,"Approve the contract with CW3 Engineering, Inc. to provide professional engineering services to proceed with the planning, design and permitting services work required for the River Ranch Road Improvements","River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",26.425785502152,-81.794620501714,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf
2518,2020-01-08,"Approved the contract with CW3 Engineering, Inc. to provide professional engineering services to proceed with the planning, design and permitting services work required for the River Ranch Road Improvements","River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",26.425785502152,-81.794620501714,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf
2498,2019-12-04,"Planning, Design and Permitting Services for River Ranch Road Improvements CN 2019-04","River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",26.425785502152,-81.794620501714,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191204%20Council%20Meeting%20Approved%20Minutes.pdf
196,2024-02-07,River Ranch Road Easement Acquisition Services Contract,"River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",26.425785502152,-81.794620501714,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02072024%20minutes.pdf
1424,2017-09-06,Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for Fire Services,San Carlos Community Pool,26.472200171612343,-81.81472550367627,,,16462507000640090,8208 SANIBEL BLVD,,,0,,VENUE_ONLY,point in 8208 SANIBEL BLVD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/090617%20Council%20Special%20Emergency%20Meeting%20Approved%20Minutes.pdf
1630,2021-09-22,US 41 & Three Oaks Monument Sign Construction Plans & Permitting Contract,"US 41 from Williams Road to Estero Parkway, Estero, FL",26.434255,-81.814695788461,,,334625E1U18692389,3800-3860 CORKSCREW RD,,,0,,VENUE_ONLY,point in 3800-3860 CORKSCREW RD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf
1937,2021-11-03,US 41 & Three Oaks Northern Monument Sign Construction Plans & Permitting Contract,"US 41 from Williams Road to Estero Parkway, Estero, FL",26.434255,-81.814695788461,,,334625E1U18692389,3800-3860 CORKSCREW RD,,,0,,VENUE_ONLY,point in 3800-3860 CORKSCREW RD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/11032021%20minutes.pdf
1905,2023-11-01,US 41 North Monument Sign Contract,"US 41 from Williams Road to Estero Parkway, Estero, FL",26.434255,-81.814695788461,,,334625E1U18692389,3800-3860 CORKSCREW RD,,,0,,VENUE_ONLY,point in 3800-3860 CORKSCREW RD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/11012023%20minutes.pdf
309,2023-03-01,US 41 Southern Monument Sign Contract,"US 41 from Williams Road to Estero Parkway, Estero, FL",26.434255,-81.814695788461,,,334625E1U18692389,3800-3860 CORKSCREW RD,,,0,,VENUE_ONLY,point in 3800-3860 CORKSCREW RD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/03012023%20minutes.pdf
531,2021-04-07,"Resolution No. 2021-12 of the Village Council of the Village of Estero, Florida, Approving the Third Budget Amendment for Fiscal Year 2020-2021 to Approve Use of Additional Village Funds and Provide a Funding Transfer for Williams Road and Atlanti...","Williams Road & Atlantic Gulf Boulevard, Estero, FL",26.420304009887,-81.812656010414,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04072021%20minutes.pdf
1969,2024-11-06,Williams Road Easement Acquisition Services Contract,"Williams Road from US 41 to Via Coconut Point, Estero, FL",26.420397237605,-81.80904475125,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/11062024%20minutes.pdf
1449,2023-09-07,Three Oaks Parkway Monument Sign Contract EC 2019-66 STA 41,along Three Oaks Parkway,26.43322615964779,-81.78756454009005,,,354625E13100300CE,RIGHT OF WAY,,,0,,VENUE_ONLY,point in RIGHT OF WAY,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/09072023%20minutes.pdf
1529,2023-09-12,"Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Low...","10041 Estero Town Commons Place, Estero, FL",26.4306485776,-81.787676765485,10041,ESTERO TOWN COMMONS,354625E1400000010,10041 ESTERO TOWN COMMONS PL,354625E1400000010,10041 ESTERO TOWN COMMONS PL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf
1379,2023-08-22,"Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeki...",10081 ESTERO TOWN COMMONS PL,26.43076631928911,-81.78522309388235,10081,ESTERO TOWN COMMONS,354625E1390000020,10081 ESTERO TOWN COMMONS PL,354625E1390000020,10081 ESTERO TOWN COMMONS PL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/08222023%20PZDB%20Minutes.pdf
1217,2022-07-12,"Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to am...","10081 Estero Town Commons Place, Estero, FL",26.430921743825,-81.785430080157,10081,ESTERO TOWN COMMONS,354625E1390000020,10081 ESTERO TOWN COMMONS PL,354625E1390000020,10081 ESTERO TOWN COMMONS PL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/07122022%20PZDB%20Minutes.pdf
365,2024-03-12,"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash",10100 ARCOS AVE,26.43361648020414,-81.78794350168731,10100,ARCOS,354625E13100A0000,10100 ARCOS AVE,354625E13100A0000,10100 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/03122024%20PZDB%20Minutes.pdf
2225,2023-12-12,"The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic C...",10100 ARCOS AVE,26.43361648020414,-81.78794350168731,10100,ARCOS,354625E13100A0000,10100 ARCOS AVE,354625E13100A0000,10100 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/12122023%20PZDB%20Minutes.pdf
981,2022-06-14,"Development Order - Arcos Executive Center (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, Northeast corner of Corkscrew Road and Three Oaks Parkway. - Development Order for...",10150 ARCOS AVE,26.4323387671025,-81.78783499987172,10150,ARCOS,354625E13100B0000,10150 ARCOS AVE,354625E13100B0000,10150 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/06142022%20PZDB%20Minutes.pdf
1334,2022-08-09,"Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Developme...",10150 ARCOS AVE,26.4323387671025,-81.78783499987172,10150,ARCOS,354625E13100B0000,10150 ARCOS AVE,354625E13100B0000,10150 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf
2224,2023-12-12,"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...",10251 ARCOS AVE,26.433481009353372,-81.78575313231335,10251,ARCOS,354625E13100G0010,10251 ARCOS AVE,354625E13100G0010,10251 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/12122023%20PZDB%20Minutes.pdf
543,2025-04-08,"Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD)",10251 ARCOS AVE,26.433481009353372,-81.78575313231335,10251,ARCOS,354625E13100G0010,10251 ARCOS AVE,354625E13100G0010,10251 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/04082025%20PZDB%20Minutes.pdf
965,2024-06-11,"Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zonin...","10251 Arcos Avenue, Estero, FL",26.43347675746,-81.785746161726,10251,ARCOS,354625E13100G0010,10251 ARCOS AVE,354625E13100G0010,10251 ARCOS AVE,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf
767,2024-05-14,Celebree School (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donation Center. The applicant seeks a D...,"10351 Corkscrew Commons Drive, Estero, FL",26.431986203618,-81.783570471119,10351,CORKSCREW COMMONS,354625E1300000090,10351 CORKSCREW COMMONS DR,354625E1300000090,10351 CORKSCREW COMMONS DR,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf
1500,2024-09-10,Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donat...,"10351 Corkscrew Commons Drive, Estero, FL",26.431986203618,-81.783570471119,10351,CORKSCREW COMMONS,354625E1300000090,10351 CORKSCREW COMMONS DR,354625E1300000090,10351 CORKSCREW COMMONS DR,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf
1884,2024-10-29,Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donat...,"10351 Corkscrew Commons Drive, Estero, FL",26.431986203618,-81.783570471119,10351,CORKSCREW COMMONS,354625E1300000090,10351 CORKSCREW COMMONS DR,354625E1300000090,10351 CORKSCREW COMMONS DR,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf
1981,2021-11-09,"Oak & Stone Restaurant, Estero Crossing Building #4 -Development Order (DOS2021-E005) (District 5) 10500 Corkscrew Road, located 1,000 feet west of the intersection of Corkscrew Road and I-75. Development Order for a5,300± square foot restaurant o...","10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,10500,CORKSCREW,354625E13800A0000,10131-191 ESTERO TOWN COMMONS PL,,,0,,ADDRESS_NOT_FOUND,point is in 10131-191 ESTERO TOWN COMMONS PL (354625E13800A0000) but address text not in parcel layer,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/11092021%20PZDB%20Minutes.pdf
561,2022-04-12,"Development Order - Estero Crossing Commercial Building #1 (Dunkin) (D.O. # TBD) (District 5) 10500 Corkscrew Road Last building in Estero Crossing's commercial area located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road an...","10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,10500,CORKSCREW,354625E13800A0000,10131-191 ESTERO TOWN COMMONS PL,,,0,,ADDRESS_NOT_FOUND,point is in 10131-191 ESTERO TOWN COMMONS PL (354625E13800A0000) but address text not in parcel layer,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/04122022%20PZDB%20Minutes.pdf
1865,2022-10-25,"Development Order - Dunkin Donuts Estero Crossing Commercial Building #1 (DOS2022-E004) (District 5) 10500 Corkscrew Road, east of Puente Lane. Applicant is proposing a ±4,700 square foot building consisting of 2 retail spaces with 1 drive thru. A...","10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,10500,CORKSCREW,354625E13800A0000,10131-191 ESTERO TOWN COMMONS PL,,,0,,ADDRESS_NOT_FOUND,point is in 10131-191 ESTERO TOWN COMMONS PL (354625E13800A0000) but address text not in parcel layer,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/10252022%20PZDB%20Minutes.pdf
1866,2022-10-25,"Consumption on Premises - Oak & Stone, Commercial Building #4 (ADD2022-E006) (District 5) 10500 Corkscrew Road, east of Puente Lane. Applicant is requesting outdoor COP approval in conjunction with full-service restaurant. No ex parte communicatio...","10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,10500,CORKSCREW,354625E13800A0000,10131-191 ESTERO TOWN COMMONS PL,,,0,,ADDRESS_NOT_FOUND,point is in 10131-191 ESTERO TOWN COMMONS PL (354625E13800A0000) but address text not in parcel layer,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/10252022%20PZDB%20Minutes.pdf
2231,2022-12-13,"Miromar International Design Center - Zoning Amendment (DCI2022-E004) (District 5) 10800 Corkscrew Road, located East of I-75, south of Corkscrew Road Applicant seeks to amend the International Design Center CPD and the DRI to allow for the use of...",10800 CORKSCREW RD,26.432337818892933,-81.77458455039597,10800,CORKSCREW,354625E23900000A0,10800 CORKSCREW RD,354625E23900000A0,10800 CORKSCREW RD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/12132022%20PZDB%20Minutes.pdf
1233,2021-07-13,"Fifth Third Bank at Miromar Outlets (DO2020-E009) (District5) 10801 Corkscrew Road, approximately 450 feet north of the Corkscrew Road and Ben Hill Griffin Parkway intersection, north of Wells Fargo Bank, in an area currently used for mall parking...",10801 CORKSCREW RD,26.436264784102917,-81.77458415265198,10801,CORKSCREW,264625E3270M10000,10801 CORKSCREW RD,264625E3330M80000,10801 CORKSCREW RD,3,0,VERIFIED_AMBIGUOUS_ADDR,3 parcels share the address; point sits in one of them,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/07132021%20PZDB%20Minutes.pdf
1234,2021-07-13,"Fifth Third Bank at Miromar Outlets (DO2020-E009) (District5) 10801 Corkscrew Road, approximately 450 feet north of the Corkscrew Road and Ben Hill Griffin Parkway intersection, north of Wells Fargo Bank, in an area currently used for mall parking...",10801 CORKSCREW RD,26.436264784102917,-81.77458415265198,10801,CORKSCREW,264625E3270M10000,10801 CORKSCREW RD,264625E3330M80000,10801 CORKSCREW RD,3,0,VERIFIED_AMBIGUOUS_ADDR,3 parcels share the address; point sits in one of them,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/07132021%20PZDB%20Minutes.pdf
1315,2023-07-26,"Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs","11000 Everblades Parkway, Estero, FL",26.440541,-81.77872,11000,EVERBLADES,264625E3U22362466,11000 EVERBLADES PKWY,264625E3U22362466,11000 EVERBLADES PKWY,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07262023%20minutes.pdf
738,2023-05-09,"Estero 4.2 - Development Order (District 2) 19950 S. Tamiami Trail, located across US 41 from Wal-Mart and north of the Cayo de Estero Shoppes. Applicant seeks to construct 2 non-residential buildings and supporting infrastructure on 4.2 acres. Th...",19950 S TAMIAMI TRL,26.450390144390827,-81.82081539161072,19950,S TAMIAMI,214625E4U18162582,19950 S TAMIAMI TRL,214625E4U18162582,19950 S TAMIAMI TRL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20PZDB%20Minutes.pdf
223,2025-02-11,"Estero 4.2 - Development Order (District 2) 19950 S. Tamiami Trail, located across US 41 from Wal-Mart and north of the Cayo de Estero Shoppes. The Development Order is for 2 commercial buildings and supporting infrastructure on 4 acres. The devel...",19950 S TAMIAMI TRL,26.450390144390827,-81.82081539161072,19950,S TAMIAMI,214625E4U18162582,19950 S TAMIAMI TRL,214625E4U18162582,19950 S TAMIAMI TRL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/02112025%20PZDB%20Minutes.pdf
1767,2023-10-10,"Walmart Expansion (DOS2023-E008) (District 2) 19975 So. Tamiami Trail, located at the corner of US 41 and Estero Parkway. The original Development Order was approved in 2012, DOS2012-00045. Seeking to add a ± 5,800 square foot addition to the exis...",19975 S TAMIAMI TRL,26.45078577512305,-81.81707272622631,19975,S TAMIAMI,214625E4017000010,19975 S TAMIAMI TRL,214625E4017000010,19975 S TAMIAMI TRL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/10102023%20PZDB%20Minutes.pdf
220,2026-02-10,"Walmart Repaint Color Palette Selection (District 2) 19975 S. Tamiami Trail, located at the corner of US 41 and Estero Parkway. When Walmart was approved last year for the 3,567 square foot expansion to the north side of the existing building for...",19975 S TAMIAMI TRL,26.45078577512305,-81.81707272622631,19975,S TAMIAMI,214625E4017000010,19975 S TAMIAMI TRL,214625E4017000010,19975 S TAMIAMI TRL,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/02102026%20PZDB%20Minutes.pdf
1535,2023-09-12,"Cell Phone Tower - Bella Terra (SEZ2023-E001) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minutes are supplemented...",19980 BELLA TERRA BLVD,26.4505876442332,-81.73116264197117,19980,BELLA TERRA,204626E3010C100CE,19980 BELLA TERRA BLVD,204626E3010C100CE,19980 BELLA TERRA BLVD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf
363,2024-03-12,"Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minute...",19980 BELLA TERRA BLVD,26.4505876442332,-81.73116264197117,19980,BELLA TERRA,204626E3010C100CE,19980 BELLA TERRA BLVD,204626E3010C100CE,19980 BELLA TERRA BLVD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/03122024%20PZDB%20Minutes.pdf
473,2024-04-03,"Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Com...","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,19980,BELLA TERRA,204626E3010C100CE,19980 BELLA TERRA BLVD,204626E3010C100CE,19980 BELLA TERRA BLVD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04032024%20minutes.pdf
593,2024-04-17,"Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bel...","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,19980,BELLA TERRA,204626E3010C100CE,19980 BELLA TERRA BLVD,204626E3010C100CE,19980 BELLA TERRA BLVD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04172024%20minutes.pdf
