item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at,project_matches,staff_code,needs_review,extraction_confidence,category_id,item_order,item_title,item_text,action_taken,action_type,vote_detected,extraction_notes
571,84,7,Ordinance,Ordinance No. 2025-03,,"Second Reading Ordinance No. 2025-03 Repealing Article III of Chapter 10 of the Village Code Regarding Disaster Recovery An Ordinance of the Village Council of the Village of Estero, Florida, Repealing Article III of Chapter 10 of the Village Code Regardi",,,"Second Reading Ordinance No. 2025-03 Repealing Article III of Chapter 10 of the Village Code Regarding Disaster Recovery An Ordinance of the Village Council of the Village of Estero, Florida, Repealing Article III of Chapter 10 of the Village Code Regardi. Action: Approved Ordinance No. 2025-03",Approved Ordinance No. 2025-03,,Detected,,,TD/CS,True,0.5,8,7,"Second Reading Ordinance No. 2025-03 Repealing Article III of Chapter 10 of the Village Code Regarding Disaster Recovery An Ordinance of the Village Council of the Village of Estero, Florida, Repealing Article III of Chapter 10 of the Village Code Regardi","Second Reading Ordinance No. 2025-03 Repealing Article III of Chapter 10 of the Village Code Regarding Disaster Recovery An Ordinance of the Village Council of the Village of Estero, Florida, Repealing Article III of Chapter 10 of the Village Code Regardi. Action: Approved Ordinance No. 2025-03",Approved Ordinance No. 2025-03,Ordinance,True,
572,84,8,Unknown,,,"April 2, 2025 Village Council Meeting Minutes",,,"April 2, 2025 Village Council Meeting Minutes. Action: No formal action recorded. April 2, 2025 Village Council Meeting Minutes","No formal action recorded. April 2, 2025 Village Council Meeting Minutes",,,,,TD/CS,True,0.5,8,8,"April 2, 2025 Village Council Meeting Minutes","April 2, 2025 Village Council Meeting Minutes. Action: No formal action recorded. April 2, 2025 Village Council Meeting Minutes","No formal action recorded. April 2, 2025 Village Council Meeting Minutes",Unknown,False,
573,84,9,Unknown,,,Financial Report for Month ended February 2025,,,Financial Report for Month ended February 2025. Action: No formal action recorded. Financial Report for Month ended February 2025,No formal action recorded. Financial Report for Month ended February 2025,,,,,TD/CS,True,0.5,7,9,Financial Report for Month ended February 2025,Financial Report for Month ended February 2025. Action: No formal action recorded. Financial Report for Month ended February 2025,No formal action recorded. Financial Report for Month ended February 2025,Unknown,False,
574,84,10,Public Comment,,,Progress Report on Local Mitigation Strategy,,,"Progress Report on Local Mitigation Strategy. Action: No formal action recorded. Progress Report on Local Mitigation Strategy Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Councilmember Hunt Public Comments None Motion: Motion to approve Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Motion by: Councilmember Lopez Seconded by: Vice Mayor Zalucki Abstentions:  Vote: (Roll Call) Aye: Councilmembers Hunt, McLain, Fayhee, Lopez, Ward, Vice Mayor Zalucki, and Mayor Ribble. Nay: Abstentions","No formal action recorded. Progress Report on Local Mitigation Strategy Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Councilmember Hunt Public Comments None Motion: Motion to approve Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Motion by: Councilmember Lopez Seconded by: Vice Mayor Zalucki Abstentions:  Vote: (Roll Call) Aye: Councilmembers Hunt, McLain, Fayhee, Lopez, Ward, Vice Mayor Zalucki, and Mayor Ribble. Nay: Abstentions","Motion: Motion to approve Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Motion by: Councilmember Lopez Seconded by: Vice Mayor Zalucki Abstentions:",See minutes,,,TD/CS,True,0.5,2,10,Progress Report on Local Mitigation Strategy,"Progress Report on Local Mitigation Strategy. Action: No formal action recorded. Progress Report on Local Mitigation Strategy Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Councilmember Hunt Public Comments None Motion: Motion to approve Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Motion by: Councilmember Lopez Seconded by: Vice Mayor Zalucki Abstentions:  Vote: (Roll Call) Aye: Councilmembers Hunt, McLain, Fayhee, Lopez, Ward, Vice Mayor Zalucki, and Mayor Ribble. Nay: Abstentions","No formal action recorded. Progress Report on Local Mitigation Strategy Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Councilmember Hunt Public Comments None Motion: Motion to approve Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Motion by: Councilmember Lopez Seconded by: Vice Mayor Zalucki Abstentions:  Vote: (Roll Call) Aye: Councilmembers Hunt, McLain, Fayhee, Lopez, Ward, Vice Mayor Zalucki, and Mayor Ribble. Nay: Abstentions",Public Comment,True,
575,84,11,Vote,,,Estero SportsPark Construction Manager at Risk Contract,,,"Estero SportsPark Construction Manager at Risk Contract. Action: Approved Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Council Questions or Comments Councilmembers Hunt, Ward, McLain, and Vice Mayor Zalucki","Approved Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Council Questions or Comments Councilmembers Hunt, Ward, McLain, and Vice Mayor Zalucki",,Detected,,,TD/CS,True,0.5,2,11,Estero SportsPark Construction Manager at Risk Contract,"Estero SportsPark Construction Manager at Risk Contract. Action: Approved Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Council Questions or Comments Councilmembers Hunt, Ward, McLain, and Vice Mayor Zalucki","Approved Progress Report on Local Mitigation Strategy for inclusion in the Village's recertification to the Insurance Services Office (ISO), Verisk Analytics. Council Questions or Comments Councilmembers Hunt, Ward, McLain, and Vice Mayor Zalucki",Vote,True,
576,84,12,Public Comment,,,Substantial Damage Administrative Procedures Plan,,,"Substantial Damage Administrative Procedures Plan. Action: No formal action recorded. Substantial Damage Administrative Procedures Plan Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Vice Mayor Zalucki and Mayor Ribble Public Comments None","No formal action recorded. Substantial Damage Administrative Procedures Plan Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Vice Mayor Zalucki and Mayor Ribble Public Comments None",,,,,TD/CS,True,0.5,8,12,Substantial Damage Administrative Procedures Plan,"Substantial Damage Administrative Procedures Plan. Action: No formal action recorded. Substantial Damage Administrative Procedures Plan Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Vice Mayor Zalucki and Mayor Ribble Public Comments None","No formal action recorded. Substantial Damage Administrative Procedures Plan Staff Presentation/Comments Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments Vice Mayor Zalucki and Mayor Ribble Public Comments None",Public Comment,False,
577,85,1,Vote,,,"Approval of Regular Council Meeting of March 27"", 2015, and April 6, 2015; Workshop Minutes of March 27, 2015 and April 7, 2015 Mr",,,"Approval of Regular Council Meeting of March 27"", 2015, and April 6, 2015; Workshop Minutes of March 27, 2015 and April 7, 2015 Mr. Action: Mr. Brown moved approval, seconded by Ms. Errington, called and carried","Mr. Brown moved approval, seconded by Ms. Errington, called and carried",,Detected,,,null,True,0.5,8,1,"Approval of Regular Council Meeting of March 27"", 2015, and April 6, 2015; Workshop Minutes of March 27, 2015 and April 7, 2015 Mr","Approval of Regular Council Meeting of March 27"", 2015, and April 6, 2015; Workshop Minutes of March 27, 2015 and April 7, 2015 Mr. Action: Mr. Brown moved approval, seconded by Ms. Errington, called and carried","Mr. Brown moved approval, seconded by Ms. Errington, called and carried",Vote,True,
578,85,2,Ordinance,ORDINANCE 2015-01,,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-01 An Ordinance of the Village Council of the Village of Estero, Florida, establishing Land Use Advisory Boards to the Village Council to include the Planning and Zoning Board and the Design Review Board;",,,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-01 An Ordinance of the Village Council of the Village of Estero, Florida, establishing Land Use Advisory Boards to the Village Council to include the Planning and Zoning Board and the Design Review Board;. Action: Mr. Levitan moved approval of the ordinance as presented and amended, seconded by Mr. Boesch, called and carried","Mr. Levitan moved approval of the ordinance as presented and amended, seconded by Mr. Boesch, called and carried",,Detected,,,null,True,0.5,8,2,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-01 An Ordinance of the Village Council of the Village of Estero, Florida, establishing Land Use Advisory Boards to the Village Council to include the Planning and Zoning Board and the Design Review Board;","SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-01 An Ordinance of the Village Council of the Village of Estero, Florida, establishing Land Use Advisory Boards to the Village Council to include the Planning and Zoning Board and the Design Review Board;. Action: Mr. Levitan moved approval of the ordinance as presented and amended, seconded by Mr. Boesch, called and carried","Mr. Levitan moved approval of the ordinance as presented and amended, seconded by Mr. Boesch, called and carried",Ordinance,True,
579,85,3,Ordinance,ORDINANCE 2015-02,,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-02 An Ordinance of the Village Council of the Village of Estero, Florida establishing procedures for ex parte communications related to quasi-judicial proceedings; providing a severability clause; repeali",,,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-02 An Ordinance of the Village Council of the Village of Estero, Florida establishing procedures for ex parte communications related to quasi-judicial proceedings; providing a severability clause; repeali. Action: Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Ms. Errington, called and carried","Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Ms. Errington, called and carried",,Detected,,,null,True,0.5,8,3,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-02 An Ordinance of the Village Council of the Village of Estero, Florida establishing procedures for ex parte communications related to quasi-judicial proceedings; providing a severability clause; repeali","SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-02 An Ordinance of the Village Council of the Village of Estero, Florida establishing procedures for ex parte communications related to quasi-judicial proceedings; providing a severability clause; repeali. Action: Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Ms. Errington, called and carried","Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Ms. Errington, called and carried",Ordinance,True,
580,85,4,Ordinance,ORDINANCE 2015-03,,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-03 An Ordinance of the Village Council of the Village of Estero, Florida, amending Chapter 22, Licenses and Business regulations, of the Code of Laws and Ordinances of the Village of Estero, Florida; remo",,,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-03 An Ordinance of the Village Council of the Village of Estero, Florida, amending Chapter 22, Licenses and Business regulations, of the Code of Laws and Ordinances of the Village of Estero, Florida; remo. Action: Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Mr. Wilson, called and carried","Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Mr. Wilson, called and carried",,Detected,,,null,True,0.5,8,4,"SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-03 An Ordinance of the Village Council of the Village of Estero, Florida, amending Chapter 22, Licenses and Business regulations, of the Code of Laws and Ordinances of the Village of Estero, Florida; remo","SECOND READING AND PUBLIC HEARING - ORDINANCE 2015-03 An Ordinance of the Village Council of the Village of Estero, Florida, amending Chapter 22, Licenses and Business regulations, of the Code of Laws and Ordinances of the Village of Estero, Florida; remo. Action: Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Mr. Wilson, called and carried","Mr. Ribble moved approval of the Ordinance as presented and amended, seconded by Mr. Wilson, called and carried",Ordinance,True,
581,85,5,Vote,,,"RESOLUTION - A Resolution Approving the Village Council Meeting Schedule for the Remainder of 2015. After Mayor Batos confirmed that there were no meetings scheduled for Friday, May 1, 2015, Vice-Mayor Levitan mentioned that adjustments might be needed to",,,"RESOLUTION - A Resolution Approving the Village Council Meeting Schedule for the Remainder of 2015. After Mayor Batos confirmed that there were no meetings scheduled for Friday, May 1, 2015, Vice-Mayor Levitan mentioned that adjustments might be needed to. Action: Ms. Errington moved approval of the schedule as amended, seconded by Mr. Brown, called and carried","Ms. Errington moved approval of the schedule as amended, seconded by Mr. Brown, called and carried",,Detected,,,null,True,0.5,8,5,"RESOLUTION - A Resolution Approving the Village Council Meeting Schedule for the Remainder of 2015. After Mayor Batos confirmed that there were no meetings scheduled for Friday, May 1, 2015, Vice-Mayor Levitan mentioned that adjustments might be needed to","RESOLUTION - A Resolution Approving the Village Council Meeting Schedule for the Remainder of 2015. After Mayor Batos confirmed that there were no meetings scheduled for Friday, May 1, 2015, Vice-Mayor Levitan mentioned that adjustments might be needed to. Action: Ms. Errington moved approval of the schedule as amended, seconded by Mr. Brown, called and carried","Ms. Errington moved approval of the schedule as amended, seconded by Mr. Brown, called and carried",Vote,True,
582,85,6,Resolution,RESOLUTION NO. 2015-20,Ms. Errington,"RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is ",,,"RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is . Action: No formal action recorded. RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is currently on retainer to handle issues on a case-by-case basis. The Mayor called for public input; however no one came forward. Mr. Levitan moved acceptance of the proposal, seconded by Ms. Errington, called and carried unanimously. RESOLUTION NO. 2015-20","No formal action recorded. RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is currently on retainer to handle issues on a case-by-case basis. The Mayor called for public input; however no one came forward. Mr. Levitan moved acceptance of the proposal, seconded by Ms. Errington, called and carried unanimously. RESOLUTION NO. 2015-20",,Unanimous,,,null,True,0.5,8,6,"RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is ","RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is . Action: No formal action recorded. RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is currently on retainer to handle issues on a case-by-case basis. The Mayor called for public input; however no one came forward. Mr. Levitan moved acceptance of the proposal, seconded by Ms. Errington, called and carried unanimously. RESOLUTION NO. 2015-20","No formal action recorded. RESOLUTION - A Resolution Approving Lewis, Stroud & Deutsch PL Agreement for Professional Planning Services. Following comments from Ms. Errington, Mayor Batos, and Vice-Mayor Levitan, Interim Village Attorney Burt Saunders pointed out that Ms. Stroud is currently on retainer to handle issues on a case-by-case basis. The Mayor called for public input; however no one came forward. Mr. Levitan moved acceptance of the proposal, seconded by Ms. Errington, called and carried unanimously. RESOLUTION NO. 2015-20",Resolution,True,
583,85,7,Vote,,,RESOLUTION - A Resolution Approving Spikowski Planning Associates Agreement for Professional Planning Services. Extensive,,,"RESOLUTION - A Resolution Approving Spikowski Planning Associates Agreement for Professional Planning Services. Extensive. Action: Mr. Levitan moved approval, seconded by Mr. Ribble, called and carried","Mr. Levitan moved approval, seconded by Mr. Ribble, called and carried",,Detected,,,null,True,0.5,8,7,RESOLUTION - A Resolution Approving Spikowski Planning Associates Agreement for Professional Planning Services. Extensive,"RESOLUTION - A Resolution Approving Spikowski Planning Associates Agreement for Professional Planning Services. Extensive. Action: Mr. Levitan moved approval, seconded by Mr. Ribble, called and carried","Mr. Levitan moved approval, seconded by Mr. Ribble, called and carried",Vote,True,
584,85,8,Resolution,,,RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use,,,"RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use. Action: No formal action recorded. RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use. Vice-Mayor Levitan noted that Map ""A"" of the original resolution did not line up with the planning proposal that was approved in Item 5(G); and that a revised Map ""B"" had been circulated on April 14, 2015. Following brief Council discussion as to whether it would be appropriate to include the revised map in today's action, Special Zoning Counsel Nancy Stroud provided a detailed explanation of the purpose, requirements and limitations of ""Zoning in Progress"". She also addressed concerns and misconceptions contained in letters from residents, developers and landowners. Vice-Mayor Levitan offered comments regarding the concept of mixed use centers (copy on file) and read into the record selected sections of the E","No formal action recorded. RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use. Vice-Mayor Levitan noted that Map ""A"" of the original resolution did not line up with the planning proposal that was approved in Item 5(G); and that a revised Map ""B"" had been circulated on April 14, 2015. Following brief Council discussion as to whether it would be appropriate to include the revised map in today's action, Special Zoning Counsel Nancy Stroud provided a detailed explanation of the purpose, requirements and limitations of ""Zoning in Progress"". She also addressed concerns and misconceptions contained in letters from residents, developers and landowners. Vice-Mayor Levitan offered comments regarding the concept of mixed use centers (copy on file) and read into the record selected sections of the E",,Detected,,,null,True,0.5,2,8,RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use,"RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use. Action: No formal action recorded. RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use. Vice-Mayor Levitan noted that Map ""A"" of the original resolution did not line up with the planning proposal that was approved in Item 5(G); and that a revised Map ""B"" had been circulated on April 14, 2015. Following brief Council discussion as to whether it would be appropriate to include the revised map in today's action, Special Zoning Counsel Nancy Stroud provided a detailed explanation of the purpose, requirements and limitations of ""Zoning in Progress"". She also addressed concerns and misconceptions contained in letters from residents, developers and landowners. Vice-Mayor Levitan offered comments regarding the concept of mixed use centers (copy on file) and read into the record selected sections of the E","No formal action recorded. RESOLUTION - A Resolution Adopting Recitals; Invoking Zoning in Progress for the Area Encompassed in the Village Center; Adopting Exemptions; Providing for Economically Viable Use. Vice-Mayor Levitan noted that Map ""A"" of the original resolution did not line up with the planning proposal that was approved in Item 5(G); and that a revised Map ""B"" had been circulated on April 14, 2015. Following brief Council discussion as to whether it would be appropriate to include the revised map in today's action, Special Zoning Counsel Nancy Stroud provided a detailed explanation of the purpose, requirements and limitations of ""Zoning in Progress"". She also addressed concerns and misconceptions contained in letters from residents, developers and landowners. Vice-Mayor Levitan offered comments regarding the concept of mixed use centers (copy on file) and read into the record selected sections of the E",Resolution,True,
585,85,9,Discussion,,,"DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection proc",,,"DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection proc. Action: No formal action recorded. DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection process. The individual Council members each described the criteria used to evaluate the candidates; then each provided a list of their selections for the Planning and Zoning Board (PZB) and reasons for endorsement. After each member provided a list of their selections for the Design Review Board (DRB) and reasons for endorsement, discussion took place regarding the method of voting. There was consensus that two blank ballots would be prepared for each Council member, one for the PZB and one for the DRB, to be completed and tallied at the next meeting. The Mayor called for public input; and the following individual came forward: Estero Commu","No formal action recorded. DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection process. The individual Council members each described the criteria used to evaluate the candidates; then each provided a list of their selections for the Planning and Zoning Board (PZB) and reasons for endorsement. After each member provided a list of their selections for the Design Review Board (DRB) and reasons for endorsement, discussion took place regarding the method of voting. There was consensus that two blank ballots would be prepared for each Council member, one for the PZB and one for the DRB, to be completed and tallied at the next meeting. The Mayor called for public input; and the following individual came forward: Estero Commu",,,,,null,True,0.5,6,9,"DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection proc","DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection proc. Action: No formal action recorded. DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection process. The individual Council members each described the criteria used to evaluate the candidates; then each provided a list of their selections for the Planning and Zoning Board (PZB) and reasons for endorsement. After each member provided a list of their selections for the Design Review Board (DRB) and reasons for endorsement, discussion took place regarding the method of voting. There was consensus that two blank ballots would be prepared for each Council member, one for the PZB and one for the DRB, to be completed and tallied at the next meeting. The Mayor called for public input; and the following individual came forward: Estero Commu","No formal action recorded. DISCUSSION - Process for Selecting Candidates for the Planning and Zoning Board and the Design Review Board Mayor Batos thanked all candidates for their willingness to serve, and offered suggestions for sharing information to be used in the selection process. The individual Council members each described the criteria used to evaluate the candidates; then each provided a list of their selections for the Planning and Zoning Board (PZB) and reasons for endorsement. After each member provided a list of their selections for the Design Review Board (DRB) and reasons for endorsement, discussion took place regarding the method of voting. There was consensus that two blank ballots would be prepared for each Council member, one for the PZB and one for the DRB, to be completed and tallied at the next meeting. The Mayor called for public input; and the following individual came forward: Estero Commu",Discussion,False,
586,85,10,Discussion,,Papyrus Document and Design,"DISCUSSION - Website Development Agreement from Papyrus Document and Design, LLC, regarding the Operation and Maintenance of Village Website Interim Village Manager Peter Lombardi mentioned that this item had been deferred from a previous agenda to allow ",,,"DISCUSSION - Website Development Agreement from Papyrus Document and Design, LLC, regarding the Operation and Maintenance of Village Website Interim Village Manager Peter Lombardi mentioned that this item had been deferred from a previous agenda to allow . Action: deferred from a previous agenda to allow for additional discussion of the proposal, and noted that the website and email address would soon be ""estero-fl","deferred from a previous agenda to allow for additional discussion of the proposal, and noted that the website and email address would soon be ""estero-fl",,,,,null,True,0.5,8,10,"DISCUSSION - Website Development Agreement from Papyrus Document and Design, LLC, regarding the Operation and Maintenance of Village Website Interim Village Manager Peter Lombardi mentioned that this item had been deferred from a previous agenda to allow ","DISCUSSION - Website Development Agreement from Papyrus Document and Design, LLC, regarding the Operation and Maintenance of Village Website Interim Village Manager Peter Lombardi mentioned that this item had been deferred from a previous agenda to allow . Action: deferred from a previous agenda to allow for additional discussion of the proposal, and noted that the website and email address would soon be ""estero-fl","deferred from a previous agenda to allow for additional discussion of the proposal, and noted that the website and email address would soon be ""estero-fl",Discussion,False,
587,85,11,Ordinance,,ECCL,"DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website develop",,,"DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website develop. Action: No formal action recorded. DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website development; Inaugural Meeting costs of $1,210.00 for taping, $90.00 overtime, $35.00 insurance rider, and $793.56 to print the programs; $2,459.20 for the Transition Books prepared and given to Council; and $2,500.00 for ordinances drafted by Nancy Stroud. Mayor Batos commented that it was appropriate for the Council to reimburse the total costs of $2,391.06 for the Inaugural Meeting and the $2,500.00 cost to expedite ordinances; and opined that the charges for Transition Books and website development were costs of the incorporation effort. Following brief Council discussion of the Transition Books, ECCL Finance Director Bob Lienesch explained","No formal action recorded. DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website development; Inaugural Meeting costs of $1,210.00 for taping, $90.00 overtime, $35.00 insurance rider, and $793.56 to print the programs; $2,459.20 for the Transition Books prepared and given to Council; and $2,500.00 for ordinances drafted by Nancy Stroud. Mayor Batos commented that it was appropriate for the Council to reimburse the total costs of $2,391.06 for the Inaugural Meeting and the $2,500.00 cost to expedite ordinances; and opined that the charges for Transition Books and website development were costs of the incorporation effort. Following brief Council discussion of the Transition Books, ECCL Finance Director Bob Lienesch explained",,,,,null,True,0.5,7,11,"DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website develop","DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website develop. Action: No formal action recorded. DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website development; Inaugural Meeting costs of $1,210.00 for taping, $90.00 overtime, $35.00 insurance rider, and $793.56 to print the programs; $2,459.20 for the Transition Books prepared and given to Council; and $2,500.00 for ordinances drafted by Nancy Stroud. Mayor Batos commented that it was appropriate for the Council to reimburse the total costs of $2,391.06 for the Inaugural Meeting and the $2,500.00 cost to expedite ordinances; and opined that the charges for Transition Books and website development were costs of the incorporation effort. Following brief Council discussion of the Transition Books, ECCL Finance Director Bob Lienesch explained","No formal action recorded. DISCUSSION - Estero Council of Community Leaders (ECCL) Reimbursements Interim Village Manager Peter Lombardi reviewed the individual invoices for items included on the invoice for $7,600.26 received from ECCL, including 3 items related to website development; Inaugural Meeting costs of $1,210.00 for taping, $90.00 overtime, $35.00 insurance rider, and $793.56 to print the programs; $2,459.20 for the Transition Books prepared and given to Council; and $2,500.00 for ordinances drafted by Nancy Stroud. Mayor Batos commented that it was appropriate for the Council to reimburse the total costs of $2,391.06 for the Inaugural Meeting and the $2,500.00 cost to expedite ordinances; and opined that the charges for Transition Books and website development were costs of the incorporation effort. Following brief Council discussion of the Transition Books, ECCL Finance Director Bob Lienesch explained",Ordinance,False,
588,85,12,Vote,,,APPROVAL OF AGENDA,,,"APPROVAL OF AGENDA. Action: Mr. Ribble moved approval, seconded by Mr. Brown, called and carried","Mr. Ribble moved approval, seconded by Mr. Brown, called and carried",,Detected,,,null,True,0.5,8,12,APPROVAL OF AGENDA,"APPROVAL OF AGENDA. Action: Mr. Ribble moved approval, seconded by Mr. Brown, called and carried","Mr. Ribble moved approval, seconded by Mr. Brown, called and carried",Vote,True,
